,Tweet_id,User_id,TweetAt,Location,OriginalTweet
2614,1397692833608257541,125966823,2021-05-26 23:15:14,Kulin lands Melb 🇦🇺  She/Her,"@an_leavy The testing and vaccine numbers at such high levels are outstanding. 

The rest very disappointing but #WeGotThis"
2615,1397692832085905415,131339787,2021-05-26 23:15:13,"London, England",Yay 🎉 Booked my vaccine!
2616,1397692828923219968,1548444510,2021-05-26 23:15:12,"Portland OR,",@TsubakiKuro666 Which vaccine did you get? I got the Johnson and Johnson one.
2617,1397692825475555328,774536157015207936,2021-05-26 23:15:12,Australia,"40k testing numbers and only 12,677 vaccine doses administered? The way out of this is vaccines, not just testing! I'd have thought these new cases in Vic would encourage vaccinations... apparently not. Disappointing. Get vaccinated when you can! https://t.co/Er3sTUpfLe"
2618,1397692824146092037,2364471312,2021-05-26 23:15:11,"Ottawa, Ontario",@DRoc_81 @jamesdcos @imgrund What does their age (12 and over) have to do with their not getting a vaccine?
2619,1397692819582558211,1318363428671483904,2021-05-26 23:15:10,,"@IamNaveenKapoor @gastonbrowne @ANI We send vaccine to dominica

And they are sending choksi to India 

""Dominicans be like: kissi ka ehsann baki nhi rakh te hum""😁😁😁"
2620,1397692815166132224,822237067,2021-05-26 23:15:09,,"Here's how to watch as Ohio announces the first winners of the Vax-A-Million drawing, and sign up for the lottery if you haven't yet: https://t.co/vgZLcYMN0x"
2621,1397692810627751937,1147281107001327616,2021-05-26 23:15:08,,"@joshgnosis We gave up months of our freedom last year to help protect the vulnerable. It wasn’t ideal. 
It’s their turn now, get vaccinated, even if it’s not your (hypothetically) ideal brand.
If they want to wait for another vaccine brand they can wait inside their houses."
2622,1397692810191683586,807095,2021-05-26 23:15:08,New York City,"In Opinion

Some critics have called Ohio’s vaccine lottery “a gimmick,” an “insane $5 million bribe” and “a waste of taxpayer dollars.”

“But, the real waste,” Gov. Mike DeWine of Ohio writes in a guest essay, “is not doing enough to save people’s lives.” https://t.co/hUoOOkZvvX"
2623,1397692809277104128,96086099,2021-05-26 23:15:08,O2 Research,Good morning to everyone except @JKJAVMY and @Khairykj for making us live through vaccine Hunger Games and wasting millions on yet another failed gov website/app.
2624,1397692806118903811,17921386,2021-05-26 23:15:07,"Raleigh, NC",Hey @NC_Governor we need a vaccine lottery in #NC! Too many folks not getting vaccinated here... https://t.co/kTZoZTfVJI
2625,1397692797835255811,1033527401370857473,2021-05-26 23:15:05,,@tv6tnt @AnselmGibbs What does a neg pcr have to do having the layer of protection offered by the vaccine? Especially for someone who needed a nurse while in white hall
2626,1397692794777526272,85343799,2021-05-26 23:15:04,"San Antonio, Texas","We are addressing your questions pertaining to COVID-19 vaccinations. Today's question is: What is an immediate allergic reaction to the COVID-19 vaccine? For more information about COVID vaccine, visit our FAQ’s page https://t.co/YINlzNy6IB https://t.co/tyFRGuq2XH"
2627,1397692794114920451,1295133187459485696,2021-05-26 23:15:04,"Charlotte, NC","@veryvirology I only follow Dr. Kevin McCairn for Covid and vaccine science. He does discuss “covid zombies,” which are people affected by impulse control issues after Covid infections but that’s all I’ve heard."
2628,1397692789262106630,3081725823,2021-05-26 23:15:03,Globe & Beyond,"#The Vaccine Rollout Is Changing How We Think about Prescription Meds is now trending on https://t.co/ruuNXUz1cM
https://t.co/ruuNXUz1cM"
2629,1397692788779724805,84419098,2021-05-26 23:15:03,"San Antonio, Texas","Have COVID-19 vaccination questions? Stay tuned as we post answers to the most commonly asked questions. For more information about COVID vaccines or vaccine appointments, please visit the FAQ’s section in our Vaccination page. https://t.co/dzYcbFQVCt https://t.co/UPNSgZ4kNN"
2630,1397692787634679811,1008800930198933505,2021-05-26 23:15:03,"19750 Governors Hwy, Flossmoor, Illinois, USA","Should your child wait after taking other vaccines, such as, MMR or Hepatitis B, before taking the COVID-19 vaccine? https://t.co/d3Ob8y1Ulv"
2631,1397692784409260040,1376045294769561601,2021-05-26 23:15:02,she/her,finally getting my vaccine this monday omfg
2632,1397692784077770754,491594719,2021-05-26 23:15:02,,"@leighsales My suspicion is that a country orders the vaccine and the drug company decides when to deliver it The EU is suing AZ as we speak, because they have not sent enough vaccines."
2633,1397692782504906753,1256712186681942016,2021-05-26 23:15:01,Australia,"@ScottMorrisonMP is to blame for Melbournes covid outbreak. The incompetence of thr vaccine roll out is a @LiberalAus failure that cant be overstated #auspol
So many vax promises broken that they stopped making them. Maybe throw money @ mRna to make here instead if imports."
2634,1397692777429880840,1364920154497277956,2021-05-26 23:15:00,"Los Angeles County, CA","NEW: CVS #8860 on 05-27
Age Group: Unknown

Address: 11831 Hawthorne Boulevard, Hawthorne, CA 90250
Posted @ 1622070901
https://t.co/0mws9GGZhU"
2635,1397692775693533191,1269228711515127814,2021-05-26 23:15:00,"Geneva, Switzerland","#24HoursOfUX is June 9th/10th!

Hour 19 in the Elevating UX track:

”The Vaccine - A Case Study in Service Design” by @DisruptiveExper https://t.co/uciJbtAQw1"
2636,1397692774154215427,40384856,2021-05-26 23:14:59,"Dayton, OH",About to win this million dollars! All thanks to @DBallinger54 not supporting DJT’s greatest accomplishment - the vaccine. He’s the one guy who can beat me at winning lotteries.
2637,1397692764029075468,1223260604,2021-05-26 23:14:57,"Moruga, Trinidad and Tobago ",Tanty Kams fighting for vaccine for the country n ent want no part 😅#Tv6News
2638,1397692754239528960,104653500,2021-05-26 23:14:55,Tycho Base Alpha,"@vikingdad278 Dammit, Kevin, you can't just go around injecting yourself with questionable serums you found in an abandoned medical unit!

Thankfully, this vaccine has been better."
2639,1397692746949873664,1700447996,2021-05-26 23:14:53,"Ontario, Canada",For any of our #Raiders looking to get their vaccine! https://t.co/j4bMi0rAXk
2640,1397692745594990593,1181056492293644288,2021-05-26 23:14:53,Following St. Jude & The Lord.,"@David34920975 @Shortst50604025 @sweetp2828 @stclairashley Well.  I know how to/when to employ punctuation, so, COVID vax hasn’t hated on my brain, yet.  🙄

You’re gonna end up taking it because you’ll see how effective it is. 

But if you depend on herd immunity &amp; STILL criticize the vaccine, well . . . that’s just dishonest."
2641,1397692745209192448,1265493978130120704,2021-05-26 23:14:52,🌙 ,@spinte8 They can ship my vaccine to someone that really will feel more comfortable driving in the car and taking the mask off.
2642,1397692743132979200,226765039,2021-05-26 23:14:52,,"The #VaxScareNators and complacent governments pushing Victoria, Australia into Lockdown again. Proving that the virus will not go away and herd immunity via the vaccine is the only way out. #GetVaccinatedASAP #viccovid"
2643,1397692739404304384,135502220,2021-05-26 23:14:51,Fuck off,Is the vaccine passport shit all in order? I will want mine 14 days after my second shot so I can skip this fucking backwater for awhile.
2644,1397692737923829761,1339368397923086338,2021-05-26 23:14:51,,"@Ohdaneit @SenTedCruz Let’s see, trump wanted early travel ban, said no Russia collusion, initiated vaccine project, low tax, low UE, great stk mkt, etc. Biden? Shut US oil pipe and gave to Russia, hunter still free, both may b colluding with Russia? Dems quiet now, loud as hell when Trump. Huh"
2645,1397692725412065282,583793331,2021-05-26 23:14:48,Awabakal lands,@sammons_vanessa Where is the public education campaign to build vaccine confidence and uptake? Blaming &amp; shaming the public for poor government strategy &amp; policy won’t help.
2646,1397692724229386245,527877188,2021-05-26 23:14:47,"Ajax, Ontario","@MisterDoubleJ And Harper boosted vaccine production capability, despite what Trudeau and the CBC say.

https://t.co/6wgZfzxQ0J"
2647,1397692721503031306,2311015531,2021-05-26 23:14:47,"Manitoba, Canada","@ToddMcCartney88 @NHL Unfortunately Canada doesn't have the capability to produce the vaccine and we're relying on other countries to deliver. Plus, i believe they have no clue on how to properly deliver them to the population on time or correctly."
2648,1397692716008546304,1116345523437436928,2021-05-26 23:14:46,"Front Royal, VA",2 hours after getting J&amp;J vaccine and the craving for human flesh has yet to start. I have a better cell phone signal however.
2649,1397692713835941894,36306383,2021-05-26 23:14:45,,"I had a productive day off. First I had a job interview, then called my school and then got my vaccine which was followed by a little shopping!
 
Safe to say I’ll be in bed all day tomorrow cause I got everything done today 😜"
2650,1397692707691192329,1296083990,2021-05-26 23:14:44,,My girlfriend’s step brother told her he wasn’t getting the vaccine. I sent him a nice informational message and he just text me and said he has it scheduled for next week.
2651,1397692705111777280,1237506684081393671,2021-05-26 23:14:43,,"@Intertubes9000 @Reuters The most important thing about vaccine safety and improvement is to note any and all side effects that may occur because of the vaccine. I wouldnt say this political, more erring on the safe side"
2652,1397692702041403392,2887713523,2021-05-26 23:14:42,woomeLang ,Melbourne outbreak shows need for vaccine urgency https://t.co/ZRRiuJdNWt
2653,1397692697662693379,762988115401277441,2021-05-26 23:14:41,,Anju has had enough! He said leggo di vaccine! 😂 https://t.co/IvjwpuxUKS
2654,1397692695544479746,1379597234774364162,2021-05-26 23:14:41,,@WUTangKids Yup or do all types of recreational drugs but draw the line on the vaccine 😂 https://t.co/tKQXK2NrcQ
2655,1397692685754896385,3178621,2021-05-26 23:14:38,Lalaland,"@djakasss No, it doesn’t work that way. Pls read https://t.co/ett9WQipII"
2656,1397692682982543362,824014804016893953,2021-05-26 23:14:38,In a van DOWN BY THE RIVER,"You have a moral obligation not to do something or accept payment for something that you know is wrong.
https://t.co/9g0Aim5lMk via @GoogleNews"
2657,1397692668705116165,235196204,2021-05-26 23:14:34,,"Influencers say they were offered money to discredit the Pfizer vaccine. In France, some suspect Russia is behind it. https://t.co/sX2nlN3OeA"
2658,1397692666289156096,3242142684,2021-05-26 23:14:34,,@joshgnosis According to the Queensland government the vaccine won’t help and you are still expected to quarantine even when fully vaccinated
2659,1397692663223181319,704843385719263232,2021-05-26 23:14:33,Canada,@Billius27 Agree. Thanks for being one of the early advocates! This petition is still urging for a shortened vaccine interval for seniors (to start)...&amp; it's still needed until 2nd doses are finally opened &amp; barriers lifted. https://t.co/ua8mjOMT78
2660,1397692659636916224,732841304,2021-05-26 23:14:32,,Checked mysejahtera just now and already got my appointment date for first dose AZ vaccine as I registered yesterday 😚
2661,1397692652741611525,14221917,2021-05-26 23:14:30,"Philadelphia, PA","As Pennsylvania eases distancing and mask mandates, health officials are still failing to successfully vaccinate communities that have been disadvantaged from the start. https://t.co/0yyph79DEX"
2662,1397692652313726977,1106542735295561731,2021-05-26 23:14:30,,"I don't believe Covid came out of a lab. 

I think it's a cover story to try reinforce it as a real threat, which means they can continue to push the vaccine and keep testing people with faulty PCR tests. 

The media is shifting to ""bioweapon"" as these things are being exposed."
2663,1397692649046384641,839410459996381184,2021-05-26 23:14:30,,"@TheAviator1992 We do suffer vaccine hesitancy in this country, no question. But only very few countries are anywhere close to vaccine-aided herd immunity."
2664,1397692647867883523,1198029630638346241,2021-05-26 23:14:29,In Your Head 😹😹😹 🧠,"@adinross That’s it. I’ve had enough! This coming Saturday I will be storming the capital with my fellow Americans! I’ve had enough of this Mickey Mouse election and it’s rigged outcome! On top of that, they are chipping my fellow American with the vaccine! Shame on you Joe Mickey!"
2665,1397692645212893185,859970780,2021-05-26 23:14:29,,"I got my second covid vaccine today, so of course I had to wear this @HamiltonMusical themed mask to my appointment https://t.co/9gLM9yw4SP"
2666,1397692637302333441,1184894352746659840,2021-05-26 23:14:27,,"@janer_ca @RachelNotley @JanisIrwin The plan is great, get your vaccine and you will be fine. Or lock yourself in your house until Sept while the rest of us enjoy the summer."
2667,1397692637138800642,717785710472925184,2021-05-26 23:14:27,Detroit Michigan,Anyone who took covid vaccine shot got different side effect
2668,1397692635305975808,929784330381090817,2021-05-26 23:14:26,"Dundee, Scotland, UK","@RaduAngelescu @sailorrooscout @gnomequeen1983 Meanwhile, in the US and some countries, the vaccine is available or will be soon to anyone who want it."
2669,1397692634404118531,15186351,2021-05-26 23:14:26,"Florida, USA","Today on ""We are the Stupidest Country and Getting Dumber By the Minute""... https://t.co/bSniEkPkQN"
2670,1397692631849717761,1045094817049399296,2021-05-26 23:14:25,,"@TylerRose1536 @veryvirology 81 year old retired MD. Not an antivaxer,but this stuff is not a vaccine. It is an experimental gene therapy jab. No data to show it's long term effects. Not FDA approved. Give me a break, who in their right mind would want this sh**"
2671,1397692626938257408,32976647,2021-05-26 23:14:24,South Coast Of England,"@FVerdemela @addicted2newz If Corbyn had won the 2019 election we would be living in a totally different dimension, one where we had no public/private partnership AZ vaccine &amp; perhaps no orders for Pfizer either given he would have joined the EU scheme.

And who knows what he would have done re lockdowns."
2672,1397692626489561089,1306042850304548866,2021-05-26 23:14:24,"Atlanta, GA",I’m Otp with my auntie she gone say you get piercings but scared of a vaccine ma’am plz mind your business 😂💁🏾
2673,1397692619443036160,531633997,2021-05-26 23:14:23,"Toronto, Ontario","Show me the vaccine passport!

Signing off. Stay safe. Trust science. https://t.co/pXrZhNfGKI"
2674,1397692607954776064,1276370407713468416,2021-05-26 23:14:20,,"@alex_n_boyd What is being done internationally to limit or stop gain-of-function research on viruses?

What is being done to ensure Canada is more self-sufficient for essential goods such as food production, medicine, vaccine production/research?

What is being done to ensure"
2675,1397692603630456834,40983693,2021-05-26 23:14:19,"Minnesota, USA",@CDCgov Not interested in an experiment vaccine with no liability. Corruption is rampant!  https://t.co/KPmUDeqoOt
2676,1397692599536865282,164976578,2021-05-26 23:14:18,"Michigan, USA","""Reverse-transcribed SARS-CoV-2 RNA can integrate into the genome of cultured human cells and can be expressed in patient-derived tissues"" 

Can vaccine mRNA be similarly integrated?
#SARSCoV2
https://t.co/9pYbwfGIO7"
2677,1397692598588899328,886134811517100032,2021-05-26 23:14:18,"Castaic, CA","HOLY ROSARY: WEDESNAY, MAY 26, 2021 - THE HOLY ROSARY WEDNESDAY. https://t.co/ZsnbptYHtD via @YouTube.  Praying for a very special intentions, for all the sick, cure of cancer, end of abortion, Covid, the success of the vaccine. Thank You Jesus. Amen 🙏"
2678,1397692594638012420,26807122,2021-05-26 23:14:17,"London, England",@wef @NetBaseQuid @ProfHeidiLarson @vaccine_trust This is a joke right 😂😂😂 you should realise by now no one believes anything you say
2679,1397692594465955842,35628214,2021-05-26 23:14:17,,Which vaccine should your boy get that Pfizer looking good but I got that Johnson &amp; Johnson side eyeing me
2680,1397692593085894660,1198907142377332736,2021-05-26 23:14:16,fj ,lmaooo this reminds me of when i was talking to this mansss about my depo shot &amp; the vaccine and then he said we better practice abstinence in case the vaccine cancels out the depo 😂 https://t.co/lXXFu2JDuX
2681,1397692592943468544,1370394177977081857,2021-05-26 23:14:16,"Ado Ekiti, Nigeria","The State Governor @kfayemi has received his 2nd dose of the #COVID19 vaccine, symbolically flagging off the 2nd dose administration of phase 1 vaccination campaign in the state.

We urge all persons who received the 1st dose to take-up the 2nd dose from facilities near them."
2682,1397692590640795650,587401891,2021-05-26 23:14:16,United States,"@DanCGoldberg @NYGovCuomo  was such a control freak that half empty vials of vaccine were discarded rather than risk giving it to someone not in one of his ""approved"" categories.

He was a big obstacle."
2683,1397692589831245826,863391801981288448,2021-05-26 23:14:15,Canada,"""With vaccine supply increasing, your second shot could come faster than expected""  https://t.co/NXN8JY8XLx"
2684,1397692588270960644,2496637136,2021-05-26 23:14:15,Derbyshire | He/Him,"@leo1979xz Belgium didn't have a govt until October, Italy changes govt every 5 mins. Plus the vaccine bailed us out after a year of failure, meaning most of those above started to get death rates than us. If our bar is countries with dysfunctional govts and East Europe, we really are bad."
2685,1397692586123579394,1244812148536156160,2021-05-26 23:14:15,,"@SMii7Y @SamJonesArt Here is your problem, you should've used Bing!
With the vaccine, you basically communicate directly with Microsoft's servers and get personalized results!"
2686,1397692577617354756,44825097,2021-05-26 23:14:13,,@brucep13 So did these people HAVE Covid at some point or is this a vaccine cause?
2687,1397692575213969408,103233567,2021-05-26 23:14:12,"Vancouver Island, BC Canada",@Deathope_A52 Shingles is horrible. I remember when my dad had it.  I hope you recover from it as quickly as possible!!! I am at the age where I am considering getting the vaccine. Get well soon!! Gentle hugs 💜💙💜
2688,1397692572794040324,864599977749860352,2021-05-26 23:14:11,"Florida, USA",This is such BS as they rape our freedoms. This is only the beginning of a total loss of being human. Where’s the outrage??? https://t.co/Rh0fZMmHqi
2689,1397692572449918976,1329827902876053505,2021-05-26 23:14:11,Bhoologam,@Humanit72827590 @SRSEKARAN @diMO_378 @Bhaktan4 @Kishoreciyer1 @raghurama_krish @mkstalin Ubees to note. Tamilnadu stands third in the list of states that WASTED VACCINE. 15.5% VACCINE WASTED BY TN. it is a criminal waste of resources in these pandemic situation.
2690,1397692569577050117,1366021981225816070,2021-05-26 23:14:11,"Chicago, IL","@fawfulfan @CheriJacobus Anybody tries that shit at the vaccine clinics i work at, and the news would be showing yearbook photos instead of booking photos

If you catch my drift."
2691,1397692559506300928,581267451,2021-05-26 23:14:08,"Cottage Grove, OR",@thiskidsthinkin @Laurie_Garrett If you know you’ve had it then why the vaccine? T cells are a thing. SARS folks had immunity 17 years after they beat it. Also the same folks are immune to c19.
2692,1397692558789070852,1347322022406234113,2021-05-26 23:14:08,,Getting my first covid vaccine ✌️
2693,1397692554032734208,2993129827,2021-05-26 23:14:07,,If you’re against AZ vaccine you rly can’t complain about lockdown. Young ppl stayed in to protect old ppl but u wouldn’t even take a vaccine bc of a 0.001% blood clot risk? Think abt that next time u want a woman on birth control/morning after pill etc lol
2694,1397692551998722052,50770992,2021-05-26 23:14:06,,Finally got my vaccine shot today. Arm's a little sore. Otherwise feeling totally normal.
2695,1397692545627398145,1366859028106604547,2021-05-26 23:14:05,,@KyApostate @atheist_bad @Jsiv76 I question the intelligence of anyone taking the covid vaccine in the same way I do anyone who believes in god. Religion and the word science are interchangeable.
2696,1397692545329774600,111366533,2021-05-26 23:14:05,https://ados101.com/ados-101,Vaccine Passports: THIS Is Where It Leads https://t.co/UqJtl1o3Rv via @YouTube
2697,1397692542305640448,1143018130807173122,2021-05-26 23:14:04,,Ugh on Friday I have to put my 2nd vaccine shot 🥲
2698,1397692539617136641,1058741216,2021-05-26 23:14:03,"Alliston, Ontario","Lower COVID Rates and More People Getting the Vaccine Could Mean Schools Might Open
https://t.co/epyGymyc0g https://t.co/kAH5uI8Rit"
2699,1397692539029819392,2466930913,2021-05-26 23:14:03,,These people were vaccine hesitant. Here's why they changed their minds | CBC News https://t.co/PkuVdm178S
2700,1397692538589306881,1260307716385443840,2021-05-26 23:14:03,New York,TRAVEL &amp; LIFESTYLE: Experts Predict When And How Often We’ll Need COVID-19 Vaccine Boosters https://t.co/IvWDg3RQXE https://t.co/vZw0dK7ga1
2701,1397692532272758785,386447941,2021-05-26 23:14:02,,@AtlantaRodgers Soooooooo........That seems to raise the question of what about a vaccine that causes your body to create trillions of spike proteins? 😳
2702,1397692528346939395,27706824,2021-05-26 23:14:01,"Peterborough  Ontario, Canada",@PtboExaminer There not you guys late with news The government Privacy Counsel said last week we can't do vaccine passports  goes against our Charter so Federal is not doing it neither is Provinces or they will be sued
2703,1397692524991496196,347399455,2021-05-26 23:14:00,Chicago ,Got my second vaccine so I’m getting drunk and tomorrow is a sick day
2704,1397692523959705604,1213130777648488449,2021-05-26 23:14:00,,"@NHSEngland @DHSCgovuk @GSTTnhs https://t.co/50l7Cgh0EV

Why don't you tell the people about the actual effectiveness if the vaccine not even 2%"
2705,1397692521963134979,7050962,2021-05-26 23:13:59,"Sydney, Australia",Doctors spreading vaccine hesitancy messages need to go and have a long hard look at themselves as Melbourne looks likely to be heading into another lockdown.
2706,1397692512412868613,4822593580,2021-05-26 23:13:57,"orlando, fl ","@_lulskyee 😭😭im actually having my first period post-vaccine and yes, the first day or so was rougher than usual but I’m doing better now. everyone’s body is different. I know someone that had no side effects with either dose and had a normal period too😭it just depends babe"
2707,1397692511284469765,2983157181,2021-05-26 23:13:57,United States,@adinross did u get the vaccine
2708,1397692501000065027,904909932,2021-05-26 23:13:54,wisconsin,Ummm....let me guess that she was wearing a red MAGA hat too.... https://t.co/MvmDCa1gAr
2709,1397692492103909377,475388897,2021-05-26 23:13:52,Bronte Beach Sydney Australia,Just a bad bag of brands  https://t.co/khAe3XAHCH
2710,1397692487670636555,2170206188,2021-05-26 23:13:51,"The Villages, FL","@DrHorwitz @DavidRachford Luc Montagnier is a long time anti-vaxer. Once reputable he has been making absurd claims about the Covid vaccine including: ""There is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies”

Seriously?"
